algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,30,41.71024797563608,0.4572116537640492,49.49125554164251,0.49921373624038423,17.412013286680686,0.9999999900658926,1000.0,0.345979381443299,0.8960939884040281,0.49176695007701615,0.0,139.59003158550186,0.0,0.8375212116034951,0.0,18672.83018577756,10554.277132161458,78.51837452565591,0.0,78.5182729405681,0.0,30.937991366355813,0.0,30.937991366355813,3.439177332462769,0.8375212116034951,0.49176695007701615,41.54925276438395,73.86639171399473
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,31,41.71024797563608,0.45953040520350136,52.874248194694516,0.519888157301344,17.651484793975573,0.9999999761581421,1000.0,0.3663869819476227,0.8947531822415399,0.4787535679036478,0.0,129.26948283925506,0.0,0.8452021727541915,0.0,17882.259322478993,10924.692838541667,76.41342406713662,0.0,76.41332308985606,0.0,31.916229776909958,0.0,31.916229776909958,3.670675987997665,0.8452021727541915,0.4787535679036478,37.88827269872029,64.09611857446397
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,32,41.901091621915405,0.4687841545790434,54.58243233561516,0.5166855450030495,17.103764518362578,0.999999980131785,1000.0,0.36269113149847093,0.8979406420351302,0.47941680893457944,0.0,129.08484372207363,0.0,0.8192208360453122,0.0,15763.63562211834,10238.303873697916,76.4264027329742,0.0,76.42634626294746,0.0,32.975460855587,0.0,32.975460855587,3.7447387558458662,0.8192208360453122,0.47941680893457944,38.85005935033163,65.6181288920541
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,33,44.04523047282938,0.46938873815039794,58.767898333072665,0.499517670788389,17.619889651575395,0.9999999771515529,1000.0,0.3464298747111057,0.8950345694531741,0.462214603185714,0.0,117.08745186601503,0.0,0.8374834517317433,0.0,19403.68794496598,10159.847819010416,73.76417609184018,0.0,73.763976681617,0.0,34.18516335545175,0.0,34.18516335545175,3.9751873956982933,0.8374834517317433,0.462214603185714,38.11138795216878,60.49518346410776
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,34,47.609248588861846,0.4786358214914799,61.04062027931214,0.4994627507163324,17.7278442305278,0.9999999821186065,1000.0,0.346201588877855,0.8962082262210797,0.4504432262707402,0.0,114.39244527179416,0.0,0.8419824538192129,0.0,20655.336076441818,9471.542830403645,71.78792075800702,0.0,71.78768772032203,0.0,35.542277011743955,0.0,35.542277011743955,4.344506414424731,0.8419824538192129,0.4504432262707402,36.791189956665036,58.62612820179451
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,35,51.08155173825874,0.47887707042197386,64.83890195687611,0.5147777519199441,17.944809525699938,0.9999999831120173,1000.0,0.36136705221198456,0.8945325137495956,0.4369318368242895,0.0,112.11927250428569,0.0,0.8509207282025936,0.0,18807.560455839513,9940.226318359375,69.70953760308734,0.0,69.70955935979293,0.0,37.052329282318034,0.0,37.052329282318034,4.833498727638364,0.8509207282025936,0.4369318368242895,34.273866685231525,55.12530898127379
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,36,55.71614540477985,0.49098248953620593,65.82884132067362,0.546311475409836,17.718152309132513,0.9999999890724818,1000.0,0.3925495104174336,0.898096681825838,0.4313572096300757,0.0,105.07671869439613,0.0,0.8383934871058598,0.0,15718.698698525117,8737.027416992187,68.76289185853761,0.0,68.762647753564,0.0,38.56860725767656,0.0,38.56860725767656,5.341105748586378,0.8383934871058598,0.4313572096300757,30.656680456797282,46.84670375125161
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,37,61.05953784317156,0.4919516544789076,69.08511320352554,0.5297595585337012,17.750141399247305,0.9999999791383744,1000.0,0.3761808130991533,0.8952539550374687,0.42076234362536574,0.0,105.94436639347701,0.0,0.8391266874969006,0.0,18449.269365583146,8201.319986979166,67.14210026604789,0.0,67.1420019354139,0.0,40.3425127886809,0.0,40.3425127886809,6.0449977064109115,0.8391266874969006,0.42076234362536574,31.33293423652649,49.44070431695594
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,38,63.182063091143675,0.4957295712083578,72.7882670879364,0.4655514389431534,17.324978284432856,0.9999999831120173,1000.0,0.31468177678842457,0.8943206326383897,0.4185922021773138,0.0,103.38786565134352,0.0,0.8156592419869463,0.0,21450.322692011443,12688.133951822916,66.7881828899115,0.0,66.78822313228123,0.0,42.727144605765844,0.0,42.727144605765844,6.741851630986406,0.8156592419869463,0.4185922021773138,39.5163653532664,61.17115384371157
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,39,65.36195590119586,0.49793540375928086,76.18646728197733,0.5156431593138394,17.62453382298098,0.9999999741713206,1000.0,0.3620577098837968,0.8955272081382206,0.4034094697942728,0.0,94.30018555602166,0.0,0.8290427185721316,0.0,18369.175955045022,9241.074869791666,64.34668615308858,0.0,64.34664435305838,0.0,44.998735722087325,0.0,44.998735722087325,7.450313270008119,0.8290427185721316,0.4034094697942728,31.637100140253704,46.364257898377325
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,40,68.24643569443766,0.5038583205391963,78.80429444710414,0.5183623264804077,17.596868049999898,0.9999999860922496,1000.0,0.36455758774097874,0.8966565349544073,0.3930932226820838,0.0,92.28430163981267,0.0,0.8277002346417135,0.0,17754.805397727272,10934.470231119793,62.68447008999911,0.0,62.68433023878365,0.0,47.727642275678996,0.0,47.727642275678996,8.102712234751694,0.8277002346417135,0.3930932226820838,31.60334982872009,46.52666874340556
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,41,71.45542201393239,0.5058862367024024,82.84196836948395,0.5082361165727268,17.59642759183558,0.9999999821186065,1000.0,0.3551972639550507,0.8929832642407493,0.3824660836397146,0.0,89.53129638409031,0.0,0.8266786685804042,0.0,18213.92814723069,10782.266975911458,61.03711551573218,0.0,61.03713055742465,0.0,50.51187665312659,0.0,50.51187665312659,8.299161911711938,0.8266786685804042,0.3824660836397146,31.281529410680136,45.88478939684628
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,42,74.90409547617885,0.5127141539007425,85.54107717672984,0.4989762023934113,17.536044957207853,0.9999999831120173,1000.0,0.34584332029771664,0.8954760738200228,0.3728391202926698,0.0,83.13631461906378,0.0,0.8217584989109977,0.0,20455.04170001921,8949.62508951823,59.461897959474655,0.0,59.46173649146909,0.0,53.337972805941604,0.0,53.337972805941604,8.551852149064649,0.8217584989109977,0.3728391202926698,30.226382716496786,42.26095993135743
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,43,79.12976413613389,0.5133816530307134,89.36843980153402,0.5145136882652359,17.310342139556628,0.9999999791383744,1000.0,0.3611200514966205,0.8944515306122449,0.36499484340492266,0.0,84.93969463318962,0.0,0.8100717949266193,0.0,18011.5171431854,9186.56240234375,58.2652462550572,0.0,58.26511960069672,0.0,56.08920424299652,0.0,56.08920424299652,8.390801355066905,0.8100717949266193,0.36499484340492266,28.88978846867879,42.11593192228985
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,44,84.40776307498176,0.5190133205304543,92.26008910338084,0.494696438152627,17.11740893950829,0.999999980131785,1000.0,0.34155932976176906,0.896752955259614,0.3558158459735313,0.0,78.28401264556626,0.0,0.8016307664605288,0.0,19135.903748497596,10277.479459635417,56.734636952326845,0.0,56.73452509366549,0.0,58.95673638014459,0.0,58.95673638014459,8.315033077152714,0.8016307664605288,0.3558158459735313,30.73120109240214,42.40384018301506
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,45,84.40776307498176,0.5181612363706033,96.49044763247171,0.48910259290882124,17.440535260785012,0.9999999890724818,1000.0,0.33704942400594573,0.8911085639430162,0.3398903421329741,0.0,77.35735670321816,0.0,0.8153475003857766,0.0,21583.799619613153,8630.803377278646,54.24612365230437,0.0,54.245939070178615,0.0,61.89748667857528,0.0,61.89748667857528,7.76505918441587,0.8153475003857766,0.3398903421329741,28.027068519592284,39.967967629996046
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,46,86.89195837287052,0.5268162361035744,98.03277436097463,0.5285707589181081,16.877478483448858,0.9999999811251958,1000.0,0.3747175328991094,0.8967711149992047,0.3348383552772015,0.0,70.74977433011283,0.0,0.7886011864828026,0.0,15563.93855298913,8780.767456054688,53.394933086892834,0.0,53.39481128195058,0.0,64.24030786873645,0.0,64.24030786873645,8.1061785920679,0.7886011864828026,0.3348383552772015,25.585013739267985,33.900933533179064
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,47,90.78754933864766,0.5253270704299211,102.99239981174469,0.5134529147982062,17.337254442819734,0.9999999811251958,1000.0,0.35993229355579737,0.8953383458646617,0.3166835559049101,0.0,70.00804673898988,0.0,0.8087961586510263,0.0,17982.263973577235,11078.563395182291,50.54699818680926,0.0,50.546806707614806,0.0,67.12376135904809,0.0,67.12376135904809,8.863231377743862,0.8087961586510263,0.3166835559049101,25.90523843765259,35.879123953732304
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,48,100.8689563143229,0.3912329069959621,nan,0.483093865611288,16.8739797385164,nan,1000.0,0.3285354865133696,0.9122664500406173,0.30903145618283123,0.0,69.06342590924224,0.0,0.7860571543375651,0.0,nan,nan,49.29180476462194,0.0,49.29174086104992,0.0,70.6031362863359,0.0,70.6031362863359,9.443604124802187,0.7860571543375651,0.30903145618283123,26.494310712814332,37.121591426217705
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,49,114.05154168156454,0.2640312432932357,nan,0.5438536751471518,nan,nan,1000.0,0.38685121107266435,0.9153430489602096,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,0.0,nan,0.0,73.40035728352869,0.0,73.40035728352869,10.89880353341586,nan,nan,nan,nan
