algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,2.863510103204744,0.8495601791143418,0.5186939751505851,0.0,5.06370717048645,0.0,1000.0,0.0,0.0,1.911480993632099,0.0,6390.677942884983,0.0,281.26887451171876,0.0,1.7635536313709013,0.0,1.7635536313709013,0.0,293.2404371643066,0.0,281.26887451171876,0.0,0.7734765529632568,0.0,1.911480993632099,0.9658975230897316,0.7734765529632568,1.7635536313709013,14.063443725585937,319.5338971442492
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,2.863510103204744,0.8474715788364411,0.5263411183953285,0.0,4.875594007341485,0.0,1000.0,0.0,0.0,1.9538104512440324,0.0,6911.518385461607,0.0,290.45186855918485,0.0,1.8215819913300706,0.0,1.8215819913300706,0.0,412.62089940121297,0.0,290.45186855918485,0.0,0.7203863851333919,0.0,1.9538104512440324,0.9515416938994383,0.7203863851333919,1.8215819913300706,22.074342010498047,525.2753972950823
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,2.863510103204744,0.8488649774193764,0.5219560548663139,0.0,5.507072196287267,0.0,1000.0,0.0,0.0,1.9757669835212657,0.0,6391.407746506791,0.0,275.93892624798946,0.0,1.729293969980892,0.0,1.729293969980892,0.0,194.58617805032168,0.0,275.93892624798946,0.0,0.7730075226110571,0.0,1.9757669835212657,0.944036976852523,0.7730075226110571,1.729293969980892,9.38192349243164,217.3078633812309
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,2.89197638499631,0.8492011784315109,0.5174207513928414,0.0,4.375136549656208,0.0,1000.0,0.0,0.0,2.0169287537918383,0.0,7697.3451684465335,0.0,278.1173494779147,0.0,1.7425360476321157,0.0,1.7425360476321157,0.0,256.02324236356293,0.0,278.1173494779147,0.0,0.751185913498585,0.0,2.0169287537918383,0.9265635222466544,0.751185913498585,1.7425360476321157,14.462102172851562,400.2619487592197
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,2.9328745356705146,0.8500179787874221,0.514691977918148,0.0,4.6465888857841495,0.0,1000.0,0.0,0.0,2.0511401141457855,0.0,7329.278616116144,0.0,272.9401023864746,0.0,1.7119503187549359,0.0,1.7119503187549359,0.0,190.36912631988525,0.0,272.9401023864746,0.0,0.7607751324772835,0.0,2.0511401141457855,0.9104903300125926,0.7607751324772835,1.7119503187549359,10.917604095458984,293.1711446446457
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,3.038699861750355,0.8464945785403252,0.5279522086381913,0.0,5.236934426668528,0.0,1000.0,0.0,0.0,2.073341504556359,0.0,7259.203871582273,0.0,289.92519687961885,0.0,1.8156326558614675,0.0,1.8156326558614675,0.0,439.7643869760874,0.0,289.92519687961885,0.0,0.6725141736301216,0.0,2.073341504556359,0.9077170625066467,0.6725141736301216,1.8156326558614675,21.454464569091797,537.1810864970882
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,3.0584142574713313,0.8483915790319443,0.5197350618839264,0.0,4.283859455067178,0.0,1000.0,0.0,0.0,2.0978821470952917,0.0,7283.347545416321,0.0,281.3464362103006,0.0,1.7637861387603804,0.0,1.7637861387603804,0.0,177.44799406632134,0.0,281.3464362103006,0.0,0.6974608742672465,0.0,2.0978821470952917,0.8992860048281032,0.6974608742672465,1.7637861387603804,12.941936065673827,335.0339870891508
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,3.0666847043623684,0.846858377814293,0.5272218346595764,0.0,5.281813820203145,0.0,1000.0,0.0,0.0,2.1271089434673414,0.0,7561.640693092195,0.0,273.7763473510742,0.0,1.715973585221944,0.0,1.715973585221944,0.0,357.72373352050784,0.0,273.7763473510742,0.0,0.7200341125329336,0.0,2.1271089434673414,0.8918248115488614,0.7200341125329336,1.715973585221944,16.426580841064453,453.6984415855318
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,3.1443345556633373,0.8429783792495728,0.5435328047871589,0.0,5.7933349029437915,0.0,1000.0,0.0,0.0,2.164041419729505,0.0,7067.1276287329065,0.0,266.89816325419656,0.0,1.6717277296311632,0.0,1.6717277296311632,0.0,585.5123637431377,0.0,266.89816325419656,0.0,0.7405054625627157,0.0,2.164041419729505,0.8811581869595204,0.7405054625627157,1.6717277296311632,19.75046408081055,522.9674445262351
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,42,3.234218112035776,0.8458739795684814,0.5299975165724754,0.0,4.243500725082729,0.0,1000.0,0.0,0.0,2.1981704998919467,0.0,7623.180084147947,0.0,263.5280456542969,0.0,1.653425183367521,0.0,1.653425183367521,0.0,165.5764670993971,0.0,263.5280456542969,0.0,0.7417752179114715,0.0,2.1981704998919467,0.8675619383672036,0.7417752179114715,1.653425183367521,12.122290100097656,350.66628387080556
