algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,31,0.0,0.8757807785272598,0.4440156301856041,0.0,0.03628201353549957,0.0,,0.0,0.0,0.006478392156875796,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,32,0.0,0.8765025780200958,0.43997032564878463,0.0,0.035491663739085196,0.0,,0.0,0.0,0.008292271775038293,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,33,0.0,0.8771075786352157,0.4361812017560005,0.0,0.03467960883677006,0.0,,0.0,0.0,0.008250268921256066,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,34,0.0,0.8775865776538849,0.4326670646071434,0.0,0.03406762876361608,0.0,,0.0,0.0,0.013656144373511014,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,35,0.0,0.878103376507759,0.4293915128707886,0.0,0.03348191391304135,0.0,,0.0,0.0,0.0058912084273555695,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,36,0.0,0.8785439782142639,0.42644293320178983,0.0,0.03290708284080029,0.0,,0.0,0.0,0.009223545579096446,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,37,0.0,0.8790259778499603,0.4236766626238823,0.0,0.03223735417798162,0.0,,0.0,0.0,0.0064962146920152005,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,38,0.0,0.8793835780620575,0.42104303336143495,0.0,0.03183980656787753,0.0,,0.0,0.0,0.011928964444008228,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,39,0.0,0.8797127777338027,0.4186569045782089,0.0,0.03128587379679084,0.0,,0.0,0.0,0.007075476115974395,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,40,0.0,0.8801379770040512,0.4162882563471794,0.0,0.03071531692147255,0.0,,0.0,0.0,0.009393462802593906,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,41,0.0,0.8804345785379409,0.4141818437576294,0.0,0.03033869253098965,0.0,,0.0,0.0,0.011068775318562984,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,42,0.0,0.880701178073883,0.41224039429426196,0.0,0.029883680026978256,0.0,,0.0,0.0,0.005789792296760108,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,43,0.0,0.8810469775199891,0.41026386255025865,0.0,0.029426641430705787,0.0,,0.0,0.0,0.008690210974550453,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,44,0.0,0.8812665779590607,0.4085745289325714,0.0,0.02907298867031932,0.0,,0.0,0.0,0.009945468073993019,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,45,0.0,0.8816299774646759,0.4068354432582855,0.0,0.028587659358978272,0.0,,0.0,0.0,0.007642051886284241,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,46,0.0,0.8818113768100738,0.4052739645242691,0.0,0.028248064592480658,0.0,,0.0,0.0,0.004085489389437594,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,47,0.0,0.8819877774715423,0.40385818284749986,0.0,0.02784658872336149,0.0,,0.0,0.0,0.009722473621932846,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,48,0.0,0.8822645771503449,0.40244543927907944,0.0,0.027513659592717885,0.0,,0.0,0.0,0.0049404826713725924,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,49,0.0,0.882451378107071,0.40115276944637296,0.0,0.027096843175590038,0.0,,0.0,0.0,0.005330995783548464,0.0
